,headline,date,doc_type,web_url,news_desk,keywords,byline
4514,"As Virus Spreads in Russia’s Caucasus, Rumors Swirl Over Strongman’s Health",2020-05-22,article,https://www.nytimes.com/2020/05/22/world/europe/coronavirus-chechnya-kadyrov.html,Foreign,['Coronavirus (2019-nCoV)'],By Anton Troianovski
4522,Britain Orders a 14-Day Quarantine on Arriving Travelers,2020-05-22,article,https://www.nytimes.com/2020/05/22/world/europe/virus-britain-travel-quarantine.html,Foreign,"['Coronavirus (2019-nCoV)', 'Travel Warnings', 'Quarantines']",By Stephen Castle and Mark Landler
4528,Argentina Tries to Escape Default as It Misses Bond Payment,2020-05-22,article,https://www.nytimes.com/2020/05/22/world/americas/argentina-default.html,Foreign,"['Recession and Depression', 'Credit and Debt']",By Daniel Politi
4555,"After New Coronavirus Outbreaks, China Imposes Wuhan-Style Lockdown",2020-05-21,article,https://www.nytimes.com/2020/05/21/world/asia/coronavirus-china-lockdown.html,Foreign,"['Coronavirus (2019-nCoV)', 'Quarantines', 'Politics and Government']",By Javier C. Hernández
4556,Cyclone Amphan’s Death Toll Rises to 80 in India and Bangladesh,2020-05-21,article,https://www.nytimes.com/2020/05/21/world/asia/cyclone-amphan-india-bangladesh.html,Foreign,"['Cyclone Amphan', 'Deaths (Fatalities)', 'Evacuations and Evacuees', 'Coronavirus (2019-nCoV)']",By Jeffrey Gettleman and Sameer Yasir
4568,European Defense and ‘Strategic Autonomy’ Are Also Coronavirus Victims,2020-05-23,article,https://www.nytimes.com/2020/05/23/world/europe/defense-autonomy-europe-coronavirus.html,Foreign,"['Defense and Military Forces', 'Politics and Government', 'Budgets and Budgeting', 'Coronavirus (2019-nCoV)']",By Steven Erlanger
4571,Britain Orders a 14-Day Quarantine on Arriving Travelers,2020-05-22,article,https://www.nytimes.com/2020/05/22/world/europe/virus-britain-travel-quarantine.html,Foreign,"['Coronavirus (2019-nCoV)', 'Travel Warnings', 'Quarantines']",By Stephen Castle and Mark Landler
4597,"As Coronavirus Keeps the West at Bay, China Moves to Tame Hong Kong",2020-05-22,article,https://www.nytimes.com/2020/05/22/business/china-hong-kong-national-security.html,Foreign,"['Politics and Government', 'Law and Legislation', 'Hong Kong Protests (2019)', 'Secession and Independence Movements', 'Human Rights and Human Rights Violations']",By Chris Buckley and Keith Bradsher
4600,The ‘Cradle Catholic’ Promoting Family Planning in Ghana,2020-05-22,article,https://www.nytimes.com/2020/05/22/world/africa/ghana-contraception-appiah.html,Foreign,"['Birth Control and Family Planning', 'Third World and Developing Countries', 'Women and Girls']",
4622,"In Istanbul Under Lockdown, Baklava Makers Are Essential Workers",2020-05-21,article,https://www.nytimes.com/2020/05/21/world/europe/turkey-istanbul-coronavirus.html,Foreign,"['Curfews', 'Bakeries and Baked Products', 'Coronavirus (2019-nCoV)', 'Shutdowns (Institutional)', 'Quarantines']",By Carlotta Gall
4631,"In Istanbul Under Lockdown, Baklava Makers Are Essential Workers",2020-05-21,article,https://www.nytimes.com/2020/05/21/world/europe/turkey-istanbul-coronavirus.html,Foreign,"['Curfews', 'Bakeries and Baked Products', 'Coronavirus (2019-nCoV)', 'Shutdowns (Institutional)', 'Quarantines']",By Carlotta Gall
4638,Jacinda Ardern Sold a Drastic Lockdown With Straight Talk and Mom Jokes,2020-05-23,article,https://www.nytimes.com/2020/05/23/world/asia/jacinda-ardern-coronavirus-new-zealand.html,Foreign,"['Politics and Government', 'Legislatures and Parliaments', 'Social Media', 'Coronavirus (2019-nCoV)', 'Quarantines']",By Damien Cave
4639,Democracy Fades in Malaysia as Old Order Returns to Power,2020-05-22,article,https://www.nytimes.com/2020/05/22/world/asia/malaysia-politics-najib.html,Foreign,"['Politics and Government', 'Coronavirus (2019-nCoV)']",By Richard C. Paddock
4648,Beer With Bella: Malcolm Turnbull,2020-05-22,article,https://www.nytimes.com/2020/05/22/world/australia/beer-with-bella-malcolm-turnbull.html,Foreign,"['United States International Relations', 'News and News Media', 'Propaganda', 'Global Warming', 'Legislatures and Parliaments']",By Isabella Kwai
4657,"‘Lionhearted’ Girl Bikes Dad Across India, Inspiring a Nation",2020-05-22,article,https://www.nytimes.com/2020/05/22/world/asia/india-bicycle-girl-migrants.html,Foreign,"['Bicycles and Bicycling', 'Migrant Labor (Non-Agriculture)', 'Pedicabs and Rickshaws', 'Quarantines', 'Coronavirus (2019-nCoV)']",By Jeffrey Gettleman and Suhasini Raj
4662,"In Stunning Reversal, Turkey Emerges as Libya Kingmaker",2020-05-21,article,https://www.nytimes.com/2020/05/21/world/middleeast/libya-turkey-russia-hifter.html,Foreign,"['Defense and Military Forces', 'International Relations']",By Declan Walsh
4665,"As Saudi Official Hid Abroad, His Family Became a Target at Home",2020-05-21,article,https://www.nytimes.com/2020/05/21/world/middleeast/saudi-aljabri-detain.html,Foreign,"['Political Prisoners', 'Espionage and Intelligence Services', 'Classified Information and State Secrets', 'Politics and Government', 'United States International Relations']",By Ben Hubbard
